,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
2525,Central High Museum,Museum,4.9,136.0,"Museum, Tourist attraction","Central High Museum, 2120 W Daisy L Gatson Bates Dr, Little Rock, AR 72202",Little-rock,USA,AR,,Cultural,666.4000000000001,4.75,"Little-rock, Orlando"
2526,Burns Park,Park,4.6,3305.0,"Park, RV park, Tourist attraction","Burns Park, North Little Rock, AR 72118",Little-rock,USA,AR,,Nature,15202.999999999998,4.6,"Little-rock, Orlando"
2527,Murray Park,Park,4.5,504.0,"Park, Tourist attraction","Murray Park, 5900 Rebsamen Park Rd, Little Rock, AR 72202",Little-rock,USA,AR,,Nature,2268.0,4.6,"Little-rock, Orlando"
2528,Indianapolis Zoo,Zoo,4.5,19273.0,"Zoo, Aquarium, Event venue, Tourist attraction, Wedding venue","Indianapolis Zoo, 1200 W Washington St, Indianapolis, IN 46222",Indianapolis,USA,IN,,Entertainment,86728.5,4.52,Indianapolis
2529,Soldiers & Sailors Monument,Monument,4.7,8909.0,"Monument, Historical landmark, Tourist attraction, War memorial","Soldiers & Sailors Monument, 1 Monument Cir, Indianapolis, IN 46204",Indianapolis,USA,IN,,Cultural,41872.3,4.69,Indianapolis
2530,Indiana State Museum,Museum,4.6,3861.0,"Museum, Event venue, Gift shop, Heritage museum, History museum, Natural history museum, Tourist attraction, Wedding venue","Indiana State Museum, 650 W Washington St, Indianapolis, IN 46204",Indianapolis,USA,IN,,Cultural,17760.6,4.69,Indianapolis
2531,Indianapolis Motor Speedway Museum,Heritage museum,4.8,3840.0,"Heritage museum, Historical place museum, Museum, Tourist attraction","Indianapolis Motor Speedway Museum, 4750 W 16th St, Indianapolis, IN 46222",Indianapolis,USA,IN,,Cultural,18432.0,4.69,Indianapolis
2532,Holliday Park,Park,4.8,3553.0,"Park, Tourist attraction","Holliday Park, 6363 Spring Mill Rd, Indianapolis, IN 46260",Indianapolis,USA,IN,,Nature,17054.399999999998,4.62,Indianapolis
2533,Garfield Park,Park,4.5,3149.0,"Park, Tourist attraction","Garfield Park, 2345 Pagoda Dr, Indianapolis, IN 46203",Indianapolis,USA,IN,,Nature,14170.5,4.62,Indianapolis
2534,Indiana War Memorial & Museum,Museum,4.7,2707.0,"Museum, Historical place, Historical landmark, Memorial park, Tourist attraction","Indiana War Memorial & Museum, 55 E Michigan St, Indianapolis, IN 46204",Indianapolis,USA,IN,,Cultural,12722.9,4.69,Indianapolis
2535,Indianapolis Canal Walk,Park,4.7,2428.0,"Park, Tourist attraction","Indianapolis Canal Walk, Canal Walk, Indianapolis, IN 46202",Indianapolis,USA,IN,,Nature,11411.6,4.62,Indianapolis
2536,Eiteljorg Museum of American Indians and Western Art,Art museum,4.6,1969.0,"Art museum, Ethnographic museum, History museum, Museum, Tourist attraction, Wedding venue","Eiteljorg Museum of American Indians and Western Art, 500 W Washington St, Indianapolis, IN 46204",Indianapolis,USA,IN,,Cultural,9057.4,4.69,Indianapolis
2537,Virginia B. Fairbanks Art & Nature Park,Park,4.8,1748.0,"Park, Tourist attraction","Virginia B. Fairbanks Art & Nature Park, 1850 W 38th St, Indianapolis, IN 46228",Indianapolis,USA,IN,,Nature,8390.4,4.62,Indianapolis
2538,Broad Ripple Park,Park,4.6,1415.0,"Park, Tourist attraction","Broad Ripple Park, 1426 Broad Ripple Ave, Indianapolis, IN 46220",Indianapolis,USA,IN,,Nature,6508.999999999999,4.62,Indianapolis
2539,Grassy Creek Regional Park,Park,4.3,611.0,"Park, Tourist attraction","Grassy Creek Regional Park, 10510 E 30th St, Indianapolis, IN 46229",Indianapolis,USA,IN,,Nature,2627.2999999999997,4.62,Indianapolis
2540,American Legion Mall,Park,4.5,601.0,"Park, Tourist attraction","American Legion Mall, 700 N Pennsylvania St, Indianapolis, IN 46204",Indianapolis,USA,IN,,Nature,2704.5,4.62,Indianapolis
2541,Paul Ruster Park,Park,4.5,513.0,"Park, Tourist attraction","Paul Ruster Park, 11300 E Prospect St, Indianapolis, IN 46239",Indianapolis,USA,IN,,Nature,2308.5,4.62,Indianapolis
2542,Eagle Creek Park Beach,Park,4.3,492.0,"Park, State park, Tourist attraction","Eagle Creek Park Beach, 7602 Eagle Beach Dr, Indianapolis, IN 46254",Indianapolis,USA,IN,,Nature,2115.6,4.62,Indianapolis
2543,NCAA Hall of Champions,Heritage museum,4.4,486.0,"Heritage museum, Conference center, History museum, Sports memorabilia store","NCAA Hall of Champions, White River State Park, 700 W Washington St, Indianapolis, IN 46204",Indianapolis,USA,IN,,Cultural,2138.4,4.69,Indianapolis
2544,Indiana Medical History Museum,Museum,4.7,465.0,"Museum, History museum, Tourist attraction","Indiana Medical History Museum, 3270 Kirkbride Way, Indianapolis, IN 46222",Indianapolis,USA,IN,,Cultural,2185.5,4.69,Indianapolis
2545,Benjamin Harrison Presidential Site,Historical place museum,4.7,456.0,"Historical place museum, Historical landmark, History museum, Museum, Tourist attraction","Benjamin Harrison Presidential Site, 1230 N Delaware St, Indianapolis, IN 46202",Indianapolis,USA,IN,,Cultural,2143.2000000000003,4.69,Indianapolis
2546,The Pickled Pedaler,Tourist attraction,4.9,369.0,"Tourist attraction, Tour operator","The Pickled Pedaler, 602 Virginia Ave, Indianapolis, IN 46203",Indianapolis,USA,IN,,Entertainment,1808.1000000000001,4.52,Indianapolis
2547,Watkins Park,Park,4.3,339.0,"Park, Tourist attraction","Watkins Park, 2360 Dr M.L.K. Jr St, Indianapolis, IN 46208",Indianapolis,USA,IN,,Nature,1457.7,4.62,Indianapolis
